id,country,sth1,sth2,sth3,sth4,sth5,sth6,sth7,sth8,sth9
122,Kongo,3 702 314,3 800 610,3 903 318,4 012 809,4 243 929,4 366 266,4 852 412,4 954 674,5 062 021
123,Kostaryka,4 075 261,4 133 884,4 195 914,4 253 877,4 576 562,4 636 348,4 872 543,4 930 258,4 987 142
124,Gruzja,4 661 473,4 646 003,4 630 841,4 615 807,4 585 874,4 570 934,4 928 052,4 926 330,4 926 087
125,Liberia,2 042 004,3 195 931,3 334 587,3 441 790,3 786 764,3 887 886,4 299 944,4 689 021,4 809 768
126,Oman,3 102 229,3 204 897,3 311 640,3 418 085,3 027 959,3 090 150,3 355 262,3 424 386,4 613 241
127,Nowa Zelandia,4 076 140,4 115 771,4 173 460,4 213 418,4 290 347,4 327 944,4 474 549,4 510 327,4 545 627
128,Chorwacja,4 494 749,4 493 312,4 491 543,4 489 409,4 483 804,4 480 043,4 313 707,4 292 095,4 270 480
129,Bośnia i Hercegowina,4 498 976,4 552 198,4 590 310,4 613 414,4 622 163,4 622 292,3 861 912,3 856 181,3 849 891
130,Mauretania,3 177 388,3 270 065,3 364 940,3 129 486,3 281 634,3 359 185,3 677 293,3 758 571,3 840 429
131,Panama,3 191 319,3 242 173,3 292 693,3 360 474,3 460 462,3 510 045,3 705 246,3 753 142,3 800 644
132,Mołdawia,4 466 706,4 320 490,4 324 450,4 320 748,4 314 377,3 656 843,3 510 485,3 474 121,3 437 720
133,Urugwaj,3 431 932,3 460 607,3 477 778,3 494 382,3 308 535,3 316 328,3 351 016,3 360 148,3 369 299
134,Portoryko,3 927 188,3 944 259,3 958 128,3 971 020,3 989 133,3 998 905,3 578 056,3 351 827,3 294 626
135,Mongolia,2 832 224,2 951 786,2 996 081,3 041 142,3 133 318,3 179 997,3 031 330,3 068 243,3 103 428
136,Albania,3 581 655,3 600 523,3 619 778,3 639 453,2 994 667,3 002 859,3 038 594,3 047 987,3 057 220
137,Armenia,2 976 372,2 971 650,2 968 586,2 967 004,2 967 975,2 970 495,3 051 250,3 045 191,3 038 217
138,Kuwejt,2 418 393,2 505 559,2 596 799,2 691 158,2 595 628,2 646 314,2 832 776,2 875 422,2 916 467
