idx,commune,district,voivodeship,sth1,sth2,sth3,sth4
3015023,gmina Lwówek,nowotomyski,wielkopolskie,"183,54",9063,"49,38","-7,14"
1019032,gmina Zapolice,zduńskowolski,łódzkie,"81,41",5206,"63,95","5,31"
0609102,gmina Niedrzwica Duża,lubelski,lubelskie,"106,73",11913,"111,62","3,04"
0221063,gmina Mieroszów,wałbrzyski,dolnośląskie,"76,06",6717,"88,31","-10,16"
3009092,gmina Olszówka,kolski,wielkopolskie,"81,7",4491,"54,97","-5,36"
3007062,gmina Lisków,kaliski,wielkopolskie,"75,5",5178,"68,58","-7,55"
1607053,gmina Nysa,nyski,opolskie,"217,67",56858,"261,21","-3,76"
1215092,gmina Zembrzyce,suski,małopolskie,"39,2",5620,"143,37","0,3"
2415041,Wodzisław Śląski,wodzisławski,śląskie,"49,51",47685,"963,14","-5,15"
3004023,gmina Gostyń,gostyński,wielkopolskie,"137,28",28274,"205,96","2,95"
3024042,gmina Obrzycko,szamotulski,wielkopolskie,"110,84",4473,"40,36","-4,58"
2004032,gmina Radziłów,grajewski,podlaskie,"199,54",4694,"23,52","-7,69"
1429011,Sokołów Podlaski,sokołowski,mazowieckie,"17,51",18912,"1080,07","0,92"
2214043,gmina Pelplin,tczewski,pomorskie,"141,02",16101,"114,18","-6,52"
0804073,gmina Otyń,nowosolski,lubuskie,"91,69",7028,"76,65","4,11"
1214012,gmina Koniusza,proszowicki,małopolskie,"88,52",9023,"101,93","0,85"
2213042,gmina Bobowo,starogardzki,pomorskie,"51,63",3226,"62,48","7,66"
0619032,gmina Hańsk,włodawski,lubelskie,"176,27",3683,"20,89","-8,19"
0402042,gmina Brzozie,brodnicki,kujawsko-pomorskie,"93,66",3813,"40,71","0,96"
